Agency,Title,Summary,Development Stage
"International Trade 
Administration (ITA)",B2B Matchmaking,"The system's algorithms and AI technology qualifies data and makes B2B matches with 
event participants according to their specific needs and available opportunities.  The 
systems inputs are data related to event participants and the outputs are suggested B2B 
matches between participants and a match strength scorecard.",
"International Trade 
Administration (ITA)",Chatbot Pilot,"Chatbot embedded into trade.gov to assist ITA clients with FAQs, locating information and 
content, suggesting events and services.  ITA clients would enter input into the chatbot in 
the form of questions or responses to prompts.  The chatbot would scan ITA content 
libraries and input from ITA staff and return answers and suggestions based on client 
persona (exporter, foreign buyer, investor).",
"International Trade 
Administration (ITA)",Consolidated Screening List,"The Consolidated Screening List (CSL) is a list of parties for which the United States 
Government maintains restrictions on certain exports, reexports, or transfers of items. It 
consists of the consolidation of 13 export screening lists of the Departments of 
Commerce, State, and Treasury.  The CSL search engine has “Fuzzy Name Search” 
capabilities, allowing a search without knowing the exact spelling of an entity’s name. In 
Fuzzy Name mode, the CSL returns a “score” for results that exactly or nearly match the 
searched name. This is particularly helpful when searching on CSL for names that have 
been translated into English from non-Latin alphabet languages.",
"International Trade 
Administration (ITA)",AD/CVD Self Initiation,"The ADCVD program investigates allegations of dumping and/or countervailing of duties.  
Investigations are initiated when a harmed US entity files a petition identifying the alleged 
offence and the specific harm inflicted.  Self-Initiation will allow ITA to monitor trade 
patterns for this activity and preemptively initiate investigations by identifying harmed US 
entities, often before these entities are aware of the harm.",
"International Trade 
Administration (ITA)",Market Diversification Toolkit,"The Market Diversification Tool identifies potential new export markets using current 
trade patterns. A user enters what products they make and the markets they currently 
export to.  The Market Diversification Tool applies a ML algorithm to identify and compare 
markets that should be considered.  The tool brings together product-specific trade and 
tariff data and economy-level macroeconomic and governance data to provide a picture 
of which markets make sense for further market research. Users can limit the markets in 
the results to only the ones they want to consider and modify how each of the eleven 
indicators in the tool contributes to a country’s overall score. Users can export all the data 
to a spreadsheet for further analysis.",
"Minority Business Development 
Administration (MBDA)",Azure Chatbot,"Azure Chatbot is being leveraged to automate and streamline the user response to 
potential questions for MBDA users while interacting with the external facing MBDA 
website. The solution leverages AI based chatbot response coupled with Machine 
Learning and Natural Language Processing capabilities.",
"National Oceanic and 
Atmospheric Administration 
(NOAA)","Fisheries Electronic Monitoring 
Image Library","The Fisheries Electronic Monitoring Library (FEML) will be the central repository for 
electronic monitoring (EM) data related to marine life.",
"National Oceanic and 
Atmospheric Administration 
(NOAA)","Passive acoustic analysis using ML 
in Cook Inlet, AK","Passive acoustic data is analyzed for detection of beluga whales and classification of the 
different signals emitted by these species. Detection and classification are done with an 
ensemble of 4 CNN models and weighted scoring developed in collaboration with 
Microsoft. Results are being used to inform seasonal distribution, habitat use, and impact 
from anthropogenic disturbance within Cook Inlet beluga critical habitat. The project is 
aimed to expand to other cetacean species as well as anthropogenic noise.",
"National Oceanic and 
Atmospheric Administration 
(NOAA)","AI-based automation of acoustic 
detection of marine mammals","Timely processing of these data is critical for adapting mitigation measures as climate 
change continues to impact Arctic marine mammals.  Infrastructure for Noise and 
Soundscape Tolerant Investigation of Nonspecific Call Types (INSTINCT) is command line 
software which was developed in-house for model training, evaluation, and deployment 
of machine learning models for the purpose of marine mammal detection in passive 
acoustic data. It also includes annotation workflows for labeling and validation. INSTINCT 
has been successfully deployed in several analyses, and further development of detectors 
within INSTINCT is desired for future novel studies and automation. Continued integration 
of AI methods into existing processes of the CAEP acoustics group requires a skilled 
operator familiar with INSTINCT, machine learning, and acoustic repertoire of Alaska 
region marine mammals.",
"National Oceanic and 
Atmospheric Administration 
(NOAA)","Developing automation to 
determine species and count 
using optical survey data in the 
Gulf of Mexico","VIAME - This project focuses on optical survey collected in the Gulf of Mexico: 1) develop 
an image library of landed catch, 2) develop of automated image processing (ML/DL) to 
identify and enumerate species from underwater imagery and 3) develop automated 
algorithms to process imagery in near real time and download information to central 
database.",
"National Oceanic and 
Atmospheric Administration 
(NOAA)","Fast tracking the use of VIAME for 
automated identification of reef 
fish","We've been compiling image libraries for use in creating automated detection and 
classification models for use in automating the annotation process for the SEAMAP Reef 
Fish Video survey of the Gulf of Mexico. This work is being conducted in VIAME but we're 
looking at several other paths forward in the project to identify best performing models. 
Current status is that models are performing well enough that we will incorporate 
automated analysis in video reads this spring as part of a supervised annotation-qa/qc 
process.",
"National Oceanic and 
Atmospheric Administration 
(NOAA)","A Hybrid Statistical-Dynamical 
System for the Seamless 
Prediction of Daily Extremes and 
Subseasonal to Seasonal Climate 
Variability","Demonstrate the skill and suitability for operations of a statistical- dynamical prediction 
system that yields seamless probabilistic forecasts of daily extremes and sub seasonal-to-
seasonal temperature and precipitation. We recently demonstrated a Bayesian statistical 
method for post-processing seasonal forecasts of mean temperature and precipitation 
from the North American Multi-Model Ensemble (NMME). We now seek to test the utility 
of an updated hybrid statistical-dynamical prediction system that facilitates seamless sub 
seasonal and seasonal forecasting. Importantly, this method allows for the representation 
of daily extremes consistent with climate conditions. This project explores the use of 
machine learning.",
