Title,Summary,Development Stage,Techniques
Form Recognizer for Benefits Forms,Custom machine learning model to extract data from complex forms to tag data entries to field headers. The input is a document or scanned image of the form and the output is a JSON response with key/value pairs extracted by running the form against the custom trained model.,Operation and Maintenance,Classification machine learning model involving computer vision
Language Translation,Language translation of published documents and website using natural language processing models.,Implementation,Cloud based commercial-off-the-shelf pre-trained NLP models
Audio Transcription,Transcription of speech to text for records keeping using natural language processing models.,Operation and Maintenance,Cloud based commercial-off-the-shelf pre-trained NLP models
Text to Speech Conversion,Text to speech (Neural) for more realistic human sounding applications using natural language processing models.,Operation and Maintenance,Cloud based commercial-off-the-shelf pre-trained NLP models
Claims Document Processing,To identify if physician’s note contains causal language by training custom natural language processing models.,Implementation,Natural language processing for (a) document classification and (b) sentence-level causal passage detection
Website Chatbot Assistant,"The chatbot helps the end user with basic information about the program, information on who to contact, or seeking petition case status.",Implementation,Cloud based commercial-off-the-shelf pre-trained chatbot
Data Ingestion of Payroll Forms,Custom machine learning model to extract data from complex forms to tag data entries to field headers. The input is a document or scanned image of the form and the output is a JSON response with key/value pairs extracted by running the form against the custom trained model.,Initiation,Classification machine learning model involving computer vision
Hololens,AI used by Inspectors to visually inspect high and unsafe areas from a safe location.,Operation and Maintenance,
DOL Intranet Website Chatbot Assistant,"Conversational chatbot on DOL intranet websites to help answer common procurement questions, as well as specific contract questions.",Initiation,Cloud based commercial-off-the-shelf pre-trained NLP models
Official Document Validation,AI detection of mismatched addresses and garbled text in official letters sent to benefits recipients.,Implementation,Computer Vision
Electronic Records Management,"Meeting NARA metadata standards for (permanent) federal documents by using AI to identify data within the document, and also using NLP to classify and summarize documents.",Initiation,Custom text classification machine learning model
Call Recording Analysis,Automatic analysis of recorded calls made to Benefits Advisors in the DOL Interactive Voice Repsonse (IVR) center.,Initiation,Cloud based commercial-off-the-shelf pre-trained NLP models
Automatic Document Processing,Automatic processing of continuation of benefits form to extract pre-defined selection boxes.,Implementation,Cloud based commercial-off-the-shelf pre-trained NLP models
Automatic Data Processing Workflow with Form Recognizer,Automatic processing of current complex worflow to extract required data.,Initiation,Classification machine learning model involving computer vision
Case Recording summarization,Using an open source large language model to summarize publicly available case recording documents which are void of personal identifiable information (PII) or any other sensitive information. This is not hosted in the DOL technical environment and is reviewed by human note takers.,Development and Acquisition,Large language summarization model
OEWS Occupation Autocoder,The input is state submitted response files that include occupation title and sometimes job description of the surveyed units. The autocoder reads the job title and assigns up to two 6-digit Standard Occupational Classification (SOC) codes along with their probabilities as recommendations for human coders. Codes above a certain threshold are appended to the submitted response file and sent back to states to assist them with their SOC code assignment.,Operation and Maintenance,"Natural Langauge Processing, Logistic Regression, Classification"
Scanner Data Product Classification,"BLS receives bulk data from some corporations related to the cost of goods they sell and services they provide. Consumer Price Index (CPI) staff have hand-coded a segment of the items in these data into Entry Level Item (ELI) codes. To accept and make use of these bulk data transfers at scale, BLS has begun to use machine learning to label data with ELI codes. The machine learning model takes as input word frequency counts from item descriptions. Logistic regression is then used to estimate the probability of each item being classified in each ELI category based on the word frequency categorizations. The highest probability category is selected for inclusion in the data. Any selected classifications that do not meet a certain probability threshold are flagged for human review.",Operation and Maintenance,"Natural Langauge Processing, Logistic Regression, Classification"
Expenditure Classification Autocoder,Custom machine learning model to assign a reported expense description from Consumer Expenditure Diary Survey respondents to expense classification categories known as item codes.,Development and Acquisition,"Natural Language Processing, Random Forest, Classification"
