Title,Agency,Summary,Development Stage,Techniques,Source Code
AdaStress,Ames Research Center,"Testing complex systems often requires computationally intensive Monte Carlo sampling approaches to identify
possible faults. In systems where the number of faults are low, but safety critical, this form of testing may be
infeasible due to the large number of samples needed to catch a rare fault. AdaStress instead uses reinforcement
learning to more efficiently sample low-likelihood, but high-impact faults.",In-use,Reinforcement Learning,
Airplane detection,Marshall Space Flight Center,Deep learning-based airplane detection from high-resolution satellite imagery,In-use,,
"Application that provides bio-inspired solutions
to engineering problems (PeTaL)",Glenn Research Center,"PeTaL (the Periodic Table of Life) is an open source artificial intelligence (AI) design tool that leverages data and
information from nature and technology to advance biomimicry research and development. PeTaL is envisioned to
streamline various steps of the bio-inspired design process by integrating new and existing tools and methodologies
around its core ontological framework (Shyam et al., 2019; Unsworth et al., 2019). To be as comprehensive as
possible, PeTaL requires mass curation of standardized data through which it can learn, interpret, and output
predictive solutions to design queries. PeTaL is intended to be used by designers and engineers who seek nature’s
solutions to their design and engineering problems, as well as by biologists who seek to extend the application of
their scientific discoveries.
In Production: Classification of biology journal articles into functional categories.
In Development: Joint text summarization and named entity recognition task involving open-access biology journal
articles using large language models such as those available from OpenAI.",In-use,"LLM prompt engineering, BERT
text classification, Natural
Language Processing",https://github.com/nasa-petal
ASPEN Mission Planner,Jet Propulsion Laboratory,"Based on AI techniques, ASPEN is a modular, reconfigurable application framework which is capable of supporting a
wide variety of planning and scheduling applications. ASPEN provides a set of reusable software components that
implement the elements commonly found in complex planning/scheduling systems, including: an expressive
modeling language, a resource management system, a temporal reasoning system, and a graphical interface. ASPEN
has been used for many space missions including: Modified Antarctic Mapping Mission, Orbital Express, Earth
Observing One, and ESA's Rosetta Orbitter.",In mission,"constraint-based heuristic
Search",
"Automatic Detection of Impervious Surfaces
from Remotely Sensed Data Using Deep Learning",Marshall Space Flight Center,"Uses a U-Net based architecture with VGG-19 as an encoder block and custom decoder block to map the impervious
surfaces using Landsat and OSM data patches",In-use,,
"Autonomous Marine Vehicles (Single, Multiple)",Jet Propulsion Laboratory,"Due to the communication paradigm associated with operating an underwater submersible on an Ocean World, the
vehicle must be able to act autonomously when achieving scientific goals. One such goal is the study of
hydrothermal venting. Evidence for hydrothermal activity has been found on one Ocean World, Enceladus. On
Earth, these geological phenomena harbor unique ecosystems and are potentially critical to the origin of life. Similar
vents on Ocean Worlds could be the best chance at extra-terrestrial life in our Solar System. We focus on performing
autonomous science, specifically the localization of features of interest - such as hydrothermal venting - with limited
to no human interaction. A field program to Karasik Seamount in the Arctic Ocean was completed in Fall 2016 to
study and understand the human-in-the-loop approach to the localizing hydrothermal venting. In 2017/2018 an
autonomous nested search method for hydrothermal venting was developed and tested in simulation using a
hydrothermal plume dispersion model developed by Woods Hole Oceanographic Institution. Numerous
deployments have been executed including to Monterey Bar (multiple), Chesapeake Bay.",In mission,"constraint-based heuristic
Search",
Autonomous WAiting Room Evaluation (AWARE),Langley Research Center,"Using an existing security camera and YOLO Machine Learning model to detect and count number of people waiting
for service at Langley's Badge & Pass Office. When a predetermined threshold of people is exceeded, automated
texts and emails are sent to request additional help at the service counters.",In-use,Convolutional Neural Network,
"Biological and Physical Sciences (BPS) RNA
Sequencing Benchmark Training Dataset",Ames Research Center,"RNA sequencing data from spaceflown and control mouse liver samples, sourced from NASA GeneLab and
augmented with generative adversarial network to provide synthetic data points. The implementation uses
classification methods and hierarchical clustering to identify genes that are predictive of outcomes.",In-use,"GANs, Hierarchical Clustering",https://github.com/NASA-IMPACT/bps-numerical
"Biological and Physical Sciences Microscopy
Benchmark Dataset",Ames Research Center,"This study uses fluorescence microscopy images from the Biological and Physical Sciences Open Science Data
Repositories (osdr.nasa.gov). The dataset consists of 93,488 images of individual nuclei from mouse fibroblast cells,
irradiated with Fe particles or X-rays and labeled for DNA double strand breaks using 53BP1 as a fluorescence
marker. DNA damage appears as small white foci in these images. The study simulates exposure to space radiation
and the dataset has been modified to be AI ready so that AI expert can test several AI tools on them. The dataset is
publicly available on the Registry of Open Data on AWS. Implementation AI tools developed in-house are also
available on the link.",In-use,Graphical Neural Network,https://github.com/NASA-IMPACT/bps-imagery-radiation-classification/tree/cnn_classifier
CLASP Coverage Planning & Scheduling,Jet Propulsion Laboratory,"The Compressed Large-scale Activity Scheduling and Planning (CLASP) project is a long-range scheduler for space-
based or aerial instruments that can be modelled as pushbrooms -- 1D line sensors dragged across the surface of
the body being observed. It addresses the problem of choosing the orientation and on/off times of a pushbroom
instrument or collection of pushbroom instruments such that the schedule covers as many target points as possible,
but without oversubscribing memory and energy. Orientation and time of observation is derived from geometric
computations that CLASP performs using the SPICE ephemeris toolkit. CLASP allows mission planning teams to start
with a baseline mission concept and simulate the mission's science return using models of science observations,
spacecraft operations, downlink, and spacecraft trajectory. This analysis can then be folded back into many aspects
of mission design -- including trajectory, spacecraft design, operations concept, and downlink concept. The long
planning horizons allow this analysis to span an entire mission. Actively in use for optimized scheduling for the
NISAR Mission, ECOSTRESS mission (study of water needs for plant areas), EMIT mission (minerology of arid dusty
regions), OCO-3 (atmospheric CO2) and more as well as used for numerous missions analysis and studies (e.g.
100+).",In mission,constraint-based heuristic Search,
