Use Case Name,Agency,Bureau / Department,Summary of Use Case,Stage of System Development Life Cycle,Date Initiated,Date when Development and/or Acquisition began (if applicable),Date Implemented (if applicable),Contact Email,Developer Information,Consistent with EO 13960?,
Information Gateway OneReach Application,ACF,ACF Children's Bureau,"The Information Gateway hotline connects to a phone IVR managed by OneReach AI. OneReach maintains a database of state hotlines for reporting child abuse and neglect that it can connect a caller to based on their inbound phone area code. Additionally, OneReach offers a limited FAQ texting service that utilizes natural language processing to answer user queries. User queries are used for reinforcement training by a human AI trainer and to develop additional FAQs.",Operation and Maintenance,3/1/2020,4/1/2020,6/23/2020,hhs.caio@hhs.gov,Commercial-off-the-shelf,Yes, 
Artificial Intelligence-based Deduplication Algorithm for Classification of Duplicate Reports in the FDA Adverse Event Reports (FAERS) ,FDA,CDER/Office of Surveillance and Epidemiology (OSE),The deduplication algorithm is applied to nonpublic data in the FDA Adverse Event Reporting System (FAERS) to identify duplicate individual case safety reports (ICSRs). Unstructured data in free text FAERS narratives is processed through a natural language processing system to extract relevant clinical features. Both structured and unstructured data are then used in a probabilistic record linkage approach to identify duplicates. Application of the deduplication algorithm is optimized for processing entire FAERS database to support datamining. ,Development and Acquisition,9/1/2019,9/1/2019, ,hhs.caio@hhs.gov,Contracted,Yes,
Information Visualization Platform (InfoViP) to support analysis of individual case safety reports,FDA,CDER/Office of Surveillance and Epidemiology (OSE),"Developed the Information Visualization Platform (InfoViP) for post market safety surveillance, to improve the efficiency and scientific rigor of Individual Case Study Reports (ICSRs) review and evaluation process. InfoViP incorporates artificial intelligence and advanced visualizations to detect duplicate ICSRs, create temporal data visualization, and classify ICSRs for useability. ",Development and Acquisition,9/1/2019,9/1/2019,,hhs.caio@hhs.gov,Contracted,Yes,
Opioid Data Warehouse Term Identification and Novel Synthetic Opioid Detection and Evaluation Analytics,FDA,CDER/Office of Strategic Programs (OSP),"The Term Identification and Novel Synthetic Opioid Detection and Evaluation Analytics use publicly available social media and forensic chemistry data to identify novel referents to drug products in social media text. It uses the FastText library to create vector models of each known NSO-related term in a large social media corpus, and provides users with similarity scores and expected prevalence estimates for lists of terms that could be used to enhance future data gathering efforts. ",Operation and Maintenance,,,,hhs.caio@hhs.gov,Contracted,Yes,
Community Level Opioid Use Dynamics Modeling and Simulation,FDA,CDER/Office of Translational Sciences,"The OUD project leverages artificial intelligence techniques, specifically Agent-Based Modeling (ABM), to design and carry out Community Level Opioid Use Dynamics Modeling and Simulation with a cohort of datasets and to investigate the propagation mechanisms involving various factors including geographical and social influences and more, and their impacts at a high level. The project also leveraged Machine Learning (ML), such as Classification, to identify data entry types (e.g., whether a particular data entry is entered by a person in the target population, e.g., a woman of child-bearing ages) as part of the training data generation task. ",Initiation,5/5/2023,,,hhs.caio@hhs.gov,In-house,Yes,
Centers of Excellence in Regulatory Science and Innovation (CERSI) project - Leveraging AI for improving remote interactions.,FDA,CDER/Office of Pharmaceutical Quality (OPQ),"This project aims to improve four major areas identified by FDA, including transcription, translation, document and evidence management, and co-working space. Automatic speech recognition has been widely used in many applications. Its cutting-edge technology is transformer-based sequence to sequence (seq2seq) model, which is trained to generate transcripts autoregressively and has been fine-tuned on certain datasets. Using pre-trained language models directly may not be suitable because they might not work properly with different accents and specialized regulatory and scientific terminologies. This is because the models were trained on a specific type of data and may not be able to handle data that is significantly different from what they were trained on. To address this, researchers plan to manually read a set of video/audio to obtain their true transcripts, upon which they fine-tune the model to make it adapt to this new domain. Machine translation converts a sequence of text from one language to another. Researchers usually use a method called ""seq2seq,"" where original text is codified into a language that a computer can understand. Then, we use this code to generate the translated version of the text. It's like a translator who listens to someone speak in one language and then repeats what they said in another language. Similarly, it is not appropriate to directly apply the existing pre-trained seq2seq models, because (a) some languages used in the FDA context might not exist in existing models. (b) domain specific terms used in FDA are very different from general human languages. To tackle these challenges, models are trained for some unusual languages and fine-tune pre-trained models for major languages. For both situations, researchers prepare high-quality training set labeled by experts. University of Maryland CERSI (M-CERSI) plans to build a system to manage different documents and evidence, by implementing three sub-systems: (a) document classifier, (b) video/audio classifier, and (c) an interactive middleware that connects the trained model at the backend and the input at the frontend. With this, all documents created during co-working can be shared and accessed by all participants.",Initiation,3/1/2023,,,hhs.caio@hhs.gov,Contracted,Yes,
Clinical Study Data Auto-transcribing Platform (AI Analyst) for Generating Evidence to Support Drug Labelling,FDA,CDER/Office of Translational Sciences/Office of Clinical Pharmacology,"The AI Analyst platform is trained to auto-author clinical study reports from the source data to assess the strength and robustness of analytical evidence for supporting drug labelling languages.  The platform directly transcribes SDTM (Study Data Tabulation Model) datasets of phase I/II studies into full-length clinical study reports autonomously with minimal human input.  The underlying AI algorithm mimics the subject matter experts (e.g., clinicians, statisticians, and data managers) thinking process to decipher the full details of study design and conduct, and interpret the study results according to the study design.  It consists of multiple layers of data pattern recognitions.  The algorithm addresses the challenging nature of assessing clinical study results, including huge variety of study designs, unpredictable study conduct, variations of data reporting nomenclature/format, and wide range of study-specific analysis methods.  The platform has been trained and tested with hundreds of NDA/BLA submissions and over 1500 clinical trials.  The compatible study types include most drug label supporting studies, such as drug interaction, renal/hepatic impairment, and bioequivalence.  In 2022, the Office of Clinical Pharmacology (OCP/OTS/CDER) initiated the RealTime Analysis Depot (RAD) project aiming to routinely apply the AI platform to support the review of NME, 505b2 and 351K submissions.",Implementation,12/1/2020,1/1/2021,11/1/2021,hhs.caio@hhs.gov,In-house,Yes,
Application of Statistical Modeling and Natural Language Processing for Adverse Event Analysis,FDA,CDER/Office of New Drugs,"Drug-induced adverse events (AEs) are difficult to predict for early signal detection, and there is a need to develop new tools and methods to monitor the safety of marketed drugs, including novel approaches for evidence generation. This project will utilize natural language processing (NLP) and data mining (DM) to extract information from approved drug labeling that can be used for statistical modeling to determine when the selected AEs are generally labeled (pre- or post-market) and identify patterns of detection, such as predictive factors, within the first 3 years of marketing of novel drugs. This project is intended to increase our understanding of timing/early detection of AEs, which can be applied to targeted monitoring of novel drugs. Funding will be used to support an ORISE fellow.",Initiation,11/1/2022,,,hhs.caio@hhs.gov,In-house,Yes,
Using Unsupervised Learning to Generate Code Mapping Algorithms to Harmonize Data Across Data Systems,FDA,CDER/Office of Surveillance and Epidemiology (OSE),The goal of this project is to assess the potential of data€driven statistical methods for detecting and reducing coding differences between healthcare systems in Sentinel. Findings will inform development and deployment of methods and computational tools for transferring knowledge learned from one site to another and pave the way towards scalable and automated harmonization of electronic health records data.,Implementation,6/1/2021,,,hhs.caio@hhs.gov,Contracted,Yes,
Augmenting date and cause of death ascertainment in observational data sources,FDA,CDER/Office of Surveillance and Epidemiology (OSE),"The objective of this project is to develop a set of algorithms to augment assessment of mortality through probabilistic linkage of alternative data sources with EHRs. Development of generalizable approaches to improve death ascertainment is critical to improve validity of Sentinel investigations using mortality as an endpoint, and these algorithms may also be usable in supplementing death ascertainment in claims data as well. Specifically, we propose the following Aims.
Specific Aim 1: We propose to leverage online publicly available data to detect date of death for patients seen at two healthcare systems.
Specific Aim 2: We propose to augment cause of death data using healthcare system narrative text and administrative codes to develop probabilistic estimates for common causes of death",Implementation,1/1/2022,,,hhs.caio@hhs.gov,Contracted,Yes,
