Use_Case_ID,Department_Code,Agency,Office,Title,Summary,Development_Stage,Techniques,Source_Code,Department,project_title_text,summary_text,LLM_summary_text,risk_assessment_safety,risk_assessment_rights,is_risk_assessment_rights,is_risk_assessment_safety
NASA-0016-2023,NASA,Jet Propulsion Laboratory,,"SensorWeb: Volcano, Flood, Wildfire, and Others.","The Sensor Web Project uses a network of sensors linked by software and the internet to an autonomous satellite
observation response capability. This system of systems is designed with a flexible, modular, architecture to
facilitate expansion in sensors, customization of trigger conditions, and customization of responses. This system has
been used to implement a global surveillance program to study volcanos. We have also run sensorweb tests to
study flooding, cryosphere events, and atmospheric phenomena. Specifically, in our application, we use low
resolution, high coverage sensors to trigger observations by high resolution instruments. Note that there are many
other rationales to network sensors into a sensorweb. For example automated response might enable observation
using complementary instruments such as imaging radar, infra-red, visible, etc. Or automated response might be
used to apply more assets to increase the frequency of observation to improve the temporal resolution of available
data. Our sensorweb project is being used to monitor the Earth's 50 most active volcanos. We have also run
sensorweb experiments to monitor flooding, wildfires, and cryospheric events (snowfall and melt, lake freezing and
thawing, sea ice formation and breakup.)",In mission,constraint-based heuristic Search,,National Aeronautics and Space Administration,"SensorWeb: Volcano, Flood, Wildfire, and Others.: 
The Sensor Web Project uses a network of sensors linked by software and the internet to an autonomous satellite
observation response capability. This system of systems is designed with a flexible, modular, architecture to
facilitate expansion in sensors, customization of trigger conditions, and customization of responses. This system has
been used to implement a global surveillance program to study volcanos. We have also run sensorweb tests to
study flooding, cryosphere events, and atmospheric phenomena. Specifically, in our application, we use low
resolution, high coverage sensors to trigger observations by high resolution instruments. Note that there are many
other rationales to network sensors into a sensorweb. For example automated response might enable observation
using complementary instruments such as imaging radar, infra-red, visible, etc. Or automated response might be
used to apply more assets to increase the frequency of observation to improve the temporal resolution of available
data. Our sensorweb project is being used to monitor the Earth's 50 most active volcanos. We have also run
sensorweb experiments to monitor flooding, wildfires, and cryospheric events (snowfall and melt, lake freezing and
thawing, sea ice formation and breakup.)","The Sensor Web Project utilizes a network of sensors connected through software and the internet to an autonomous satellite observation system. This system allows for expansion of sensors, customization of trigger conditions, and customization of responses. The project is currently being used to monitor the Earth's 50 most active volcanos, as well as conduct experiments on flooding, wildfires, and cryospheric events.","The Sensor Web Project utilizes a network of sensors connected through software and the internet to an autonomous satellite observation system. This system allows for expansion of sensors, customization of trigger conditions, and customization of responses. The project is currently being used to monitor the Earth's 50 most active volcanos, as well as conduct experiments on flooding, wildfires, and cryospheric events.","Yes, the Sensor Web Project is potentially a safety risk. 

The project involves monitoring active volcanoes, flooding, wildfires, and cryospheric events, all of which can pose significant risks to safety. For example, volcanic eruptions can result in ash clouds, lava flows, and toxic gas emissions, which can endanger human lives and infrastructure. Flooding and wildfires can cause property damage, displacement of people, and potential loss of life. Cryospheric events, such as ice melt and glacier collapse, can also have serious consequences for both human and environmental safety.

Additionally, the project involves the use of an autonomous satellite observation system, which raises concerns about the safety and control of the system. If there are malfunctions or errors in the software or hardware, it could lead to inaccurate data collection, false alarms, or inappropriate responses, potentially putting lives and property at risk.

Therefore, considering the nature of the project and the potential risks involved, it is advisable to carefully evaluate and address safety measures to mitigate any potential safety risks.","Yes, the Sensor Web Project has the potential to be a safety risk. While the project itself does not directly involve any of the defined risks, it is important to consider the potential implications and consequences that may arise from the utilization of such a system.

The network of sensors connected to an autonomous satellite observation system can gather a vast amount of data and monitor various natural events such as volcanic activity, flooding, wildfires, and cryospheric events. However, if this data is not properly managed, analyzed, or interpreted, it could lead to incorrect or inadequate responses to potential safety risks.

For example, if there are errors or delays in the trigger conditions or responses of the system, it may fail to provide timely warnings or appropriate actions to mitigate risks. This could result in inadequate evacuation measures during natural disasters or insufficient response to volcanic eruptions, leading to potential harm to human life and property.

Additionally, the customization aspect of the project raises concerns about the accuracy and reliability of the system. If the customization of trigger conditions or responses is not well-designed or properly implemented, it could lead to false alarms or missed warnings, posing a safety risk to individuals and communities relying on the system for early detection and response to hazardous events.

Furthermore, the project's reliance on software and internet connectivity introduces potential vulnerabilities to cyber attacks, which could compromise the integrity and reliability of the system. If unauthorized access or manipulation occurs, it could lead to false data, incorrect trigger conditions, or inappropriate responses, further exacerbating safety risks.

Therefore, while the Sensor Web Project itself may not directly involve the defined risks, the potential for errors, delays, customization issues, and cybersecurity vulnerabilities make it a project that has the potential to pose safety risks if not properly managed and implemented.",True,True
DHS-0007-2023,DHS,Customs and Border Protection,,Entity Resolution,"The third-party global trade data is used to augment and enrich agency’s investigations into entities of interest. It combines data from companies and goods across multiple languages, then provides network analysis to assess trade flows and risks associated with cross-border trade.

This can validate agency-held information or provide better understanding of networks of interest to the agency to better inform investigations that cross borders. AI/ML models help manage the information provided through the software, including behind-the-curtain collection of information, structuring of data, entity resolution, network analysis, risk analysis, and other functions that contribute to the software knowledge graph and frontend that end users interact with.  ",Development and Acquisition,Natural Language Processing (NLP),,Department of Homeland Security,"Entity Resolution: 
The third-party global trade data is used to augment and enrich agency’s investigations into entities of interest. It combines data from companies and goods across multiple languages, then provides network analysis to assess trade flows and risks associated with cross-border trade.

This can validate agency-held information or provide better understanding of networks of interest to the agency to better inform investigations that cross borders. AI/ML models help manage the information provided through the software, including behind-the-curtain collection of information, structuring of data, entity resolution, network analysis, risk analysis, and other functions that contribute to the software knowledge graph and frontend that end users interact with.  ","Entity Resolution is a software system that uses global trade data to enhance agency investigations by analyzing trade flows and risks associated with cross-border trade. It utilizes AI/ML models to manage and structure data, perform entity resolution and network analysis, and contribute to the software's knowledge graph and user interface.","Entity Resolution is a software system that uses global trade data to enhance agency investigations by analyzing trade flows and risks associated with cross-border trade. It utilizes AI/ML models to manage and structure data, perform entity resolution and network analysis, and contribute to the software's knowledge graph and user interface.","Yes, the project described above has the potential to be a safety risk. According to the provided definition of safety risks, the project falls under the category of ""enforcement actions pursuant to sanctions, trade restrictions, or other controls on exports, investments, or shipping"" (k).

The software system, Entity Resolution, is designed to analyze trade flows and risks associated with cross-border trade. This means it will likely have access to sensitive information related to global trade, which can include data on exports, investments, and shipping. If this information is mishandled or misused, it could lead to potential safety risks such as compromising national security, violating trade regulations, or facilitating illegal activities.

Therefore, the project should be carefully managed and implemented to mitigate any potential safety risks and ensure the proper handling of sensitive trade data.","Yes, the project described potentially poses a safety risk. The project involves collecting and analyzing sensitive data related to trade flows and risks associated with cross-border trade. This data could potentially be used to make decisions or assessments that have significant implications for individuals or organizations, such as law enforcement actions or trade restrictions. If the AI/ML models or the software's knowledge graph and user interface are not properly designed, implemented, or secured, it could lead to erroneous or biased decisions, privacy breaches, or misuse of the collected data. Additionally, the project may involve the use of surveillance techniques, which could raise concerns regarding privacy and civil liberties. Therefore, a thorough assessment of the project's potential safety risks and appropriate safeguards should be conducted.",True,True
DOE-0159-2023,DOE,"Office of Environment, Health, Safety & Security",,"Data Analytics and Machine Learning (DAMaL) Tools to enhance the analysis of Environment, Safety and Health (ES&H) data: Unsupervised Machine Learning Text Clustering","""The EHSS Data Analytics Machine Learning (DAMaL) tools, 
unsupervised machine learning clustering tool, uses natural language 
processing (NLP) and clustering algorithms (i.e., k means, DBSCAN 
and dimensionality reduction approaches) to leverage AI to analyze the 
text of the DOE environment, safety, and health (ES&H) and operating 
experience dataset records (e.g., occurrence reporting and processing 
system, fire protection, lessons learned, and accident and injury 
reporting system, contractor assurance system CAS).  The tool 
identifies recurrent and important topics that can be used by an analyst 
to drill down and further explore potential recurrent safety issues in the 
DOE operations.
As of October 2021, the tool has been partially deployed in the DAMaL 
tools website.  Development is mostly complete with use case in Fire 
Protection Trending and Analysis completed and undergoing review of 
report.  Expected to continue to maintain, develop documentation (e.g., 
users analysis guides), improve and enhance, and increase data 
sources.",,,,Department of Energy,"Data Analytics and Machine Learning (DAMaL) Tools to enhance the analysis of Environment, Safety and Health (ES&H) data: Unsupervised Machine Learning Text Clustering: 
""The EHSS Data Analytics Machine Learning (DAMaL) tools, 
unsupervised machine learning clustering tool, uses natural language 
processing (NLP) and clustering algorithms (i.e., k means, DBSCAN 
and dimensionality reduction approaches) to leverage AI to analyze the 
text of the DOE environment, safety, and health (ES&H) and operating 
experience dataset records (e.g., occurrence reporting and processing 
system, fire protection, lessons learned, and accident and injury 
reporting system, contractor assurance system CAS).  The tool 
identifies recurrent and important topics that can be used by an analyst 
to drill down and further explore potential recurrent safety issues in the 
DOE operations.
As of October 2021, the tool has been partially deployed in the DAMaL 
tools website.  Development is mostly complete with use case in Fire 
Protection Trending and Analysis completed and undergoing review of 
report.  Expected to continue to maintain, develop documentation (e.g., 
users analysis guides), improve and enhance, and increase data 
sources.","The DAMaL tools use unsupervised machine learning clustering, NLP, and clustering algorithms to analyze text data from DOE ES&H records. The tools identify important topics that can help analysts investigate recurring safety issues in DOE operations. The tools have been partially deployed and are expected to be maintained, improved, and expanded with more data sources.","The DAMaL tools use unsupervised machine learning clustering, NLP, and clustering algorithms to analyze text data from DOE ES&H records. The tools identify important topics that can help analysts investigate recurring safety issues in DOE operations. The tools have been partially deployed and are expected to be maintained, improved, and expanded with more data sources.","Yes, the project is potentially a safety risk. 

The project involves the analysis of text data from DOE ES&H records, which are related to the functioning of dams, emergency services, electrical grids, and other systems controlling physical transit. If the tools used in the project fail to accurately identify important safety topics or overlook recurring safety issues, it could pose a risk to the overall safety of DOE operations. Therefore, ensuring the effectiveness and reliability of these tools is crucial in preventing potential safety risks.","Yes, the project is potentially a safety risk. 

The project involves analyzing text data from DOE ES&H records using unsupervised machine learning clustering, NLP, and clustering algorithms. While the project itself may not directly involve activities that pose safety risks, the potential consequences of the project's outcomes can have an impact on safety.

If the tools used in the project fail to accurately identify important topics or recurring safety issues in DOE operations, it could lead to a failure in addressing potential safety hazards. This could result in accidents, injuries, or even fatalities. 

Therefore, although the project itself does not inherently pose a safety risk, the potential implications and consequences of its outcomes make it potentially risky in terms of safety.",True,True
VA-0024-2023,VA,,,"Prediction of health outcomes, including suicide death, opioid overdose, and decompensated outcomes of chronic diseases.","Using electronic health records (EHR) (both structured and unstructured data) as  inputs, this tool outputs deep phenotypes and predictions of health outcomes including suicide death, opioid overdose, and decompensated outcomes of chronic diseases.",,,,Department of Veterans Affairs,"Prediction of health outcomes, including suicide death, opioid overdose, and decompensated outcomes of chronic diseases.: 
Using electronic health records (EHR) (both structured and unstructured data) as  inputs, this tool outputs deep phenotypes and predictions of health outcomes including suicide death, opioid overdose, and decompensated outcomes of chronic diseases.","This tool utilizes electronic health records (EHR) to generate deep phenotypes and predict various health outcomes such as suicide death, opioid overdose, and worsening conditions of chronic diseases. It takes both structured and unstructured data from EHR as inputs.","This tool utilizes electronic health records (EHR) to generate deep phenotypes and predict various health outcomes such as suicide death, opioid overdose, and worsening conditions of chronic diseases. It takes both structured and unstructured data from EHR as inputs.","Yes, the project described above is potentially a safety risk. This is because it falls under category (a) of safety risks, specifically related to the functioning of healthcare systems and the generation of health outcomes. The project involves the use of electronic health records (EHR) and the prediction of various health outcomes, including suicide death, opioid overdose, and worsening conditions of chronic diseases. If there are any errors or inaccuracies in the data analysis or predictions, it could lead to serious consequences for patients' health and safety. Additionally, if the tool is not properly secured or protected, there could be risks in terms of the privacy and security of patients' health information.","Yes, the project described above is potentially a safety risk. The project involves making predictions about various health outcomes based on electronic health records (EHR) data. While the use of EHR data for predictive purposes can have potential benefits, it also raises concerns about privacy, data security, and potential misuse of the predictions.

The project falls under category ""g"" in the defined risks, which includes decisions regarding medical devices, clinical diagnosis, and determination of treatment. Predicting health outcomes such as suicide death and opioid overdose involves sensitive and potentially life-threatening decisions. If the predictions are inaccurate or biased, it could lead to harmful consequences for individuals, such as misdiagnosis or inappropriate treatment decisions.

Additionally, the use of structured and unstructured data from EHR raises concerns about privacy and data security. EHR contains highly personal and sensitive information, and the project's use of this data for predictive purposes raises questions about how the data will be handled, stored, and protected.

It is important to carefully evaluate the potential safety risks associated with this project and implement appropriate safeguards to address privacy, data security, and potential biases in the predictions.",True,True
HHS-0073-2023,HHS,FDA,CDER/Office of Strategic Programs (OSP),Opioid Data Warehouse Term Identification and Novel Synthetic Opioid Detection and Evaluation Analytics,"The Term Identification and Novel Synthetic Opioid Detection and Evaluation Analytics use publicly available social media and forensic chemistry data to identify novel referents to drug products in social media text. It uses the FastText library to create vector models of each known NSO-related term in a large social media corpus, and provides users with similarity scores and expected prevalence estimates for lists of terms that could be used to enhance future data gathering efforts. ",Operation and Maintenance,,,Department of Health and Human Services,"Opioid Data Warehouse Term Identification and Novel Synthetic Opioid Detection and Evaluation Analytics: 
The Term Identification and Novel Synthetic Opioid Detection and Evaluation Analytics use publicly available social media and forensic chemistry data to identify novel referents to drug products in social media text. It uses the FastText library to create vector models of each known NSO-related term in a large social media corpus, and provides users with similarity scores and expected prevalence estimates for lists of terms that could be used to enhance future data gathering efforts. ","The Term Identification and Novel Synthetic Opioid Detection and Evaluation Analytics is a system that utilizes social media and forensic chemistry data to identify new references to drug products in social media text. It employs the FastText library to create vector models of known NSO-related terms in a large social media corpus, offering similarity scores and prevalence estimates for lists of terms to improve data gathering in the future.","The Term Identification and Novel Synthetic Opioid Detection and Evaluation Analytics is a system that utilizes social media and forensic chemistry data to identify new references to drug products in social media text. It employs the FastText library to create vector models of known NSO-related terms in a large social media corpus, offering similarity scores and prevalence estimates for lists of terms to improve data gathering in the future.","Yes, the project described above is potentially a safety risk.

The project involves the use of social media and forensic chemistry data to identify new references to drug products in social media text. This raises concerns related to the transportation or management of controlled substances, as well as the potential for the delivery of potentially damaging substances. The use of synthetic opioids itself poses significant health risks and can lead to addiction and overdose.

Additionally, the project involves the collection and analysis of large amounts of data from social media platforms. This raises concerns about the security and privacy of individuals' information, as well as the potential for misuse or unauthorized access to sensitive data.

Overall, the project involves elements that pose risks to public health and safety, as well as potential privacy and security concerns.","Yes, the project described above is potentially a safety risk. The project involves the use of social media data and forensic chemistry data to identify references to drug products in social media text. This can have potential safety risks in multiple ways:

1. Privacy and ethical concerns: The project involves monitoring and analyzing social media data, which raises concerns about privacy and the potential misuse of personal information.

2. Drug-related risks: The project focuses on identifying references to drug products in social media, which could involve the monitoring of illegal drug activities. This could potentially expose the project team to dangerous individuals or criminal organizations.

3. Accuracy and reliability: The project aims to improve data gathering by providing similarity scores and prevalence estimates for drug-related terms. If these models are not accurate or reliable, it could lead to false positives or false negatives, potentially impacting law enforcement efforts or public safety measures.

4. Misuse of data: The project could have unintended consequences if the data gathered is used for purposes other than its intended goal. For example, if the data is used to target or discriminate against individuals based on their online activities or associations.

Overall, the project poses potential safety risks in terms of privacy, accuracy, and the potential for misuse of data.",True,True
DHS-0005-2023,DHS,Customs and Border Protection,,Autonomous Surveillance Towers (Anduril),"Autonomously Detects, Identifies, and Tracks items of interest using Artificial Intelligence integrated with the tower. It does not require a dedicated operator, is rapidly deployable, and is relocatable in less than a day by 2-3 people.

The system features a hybrid command and control capability, hosted in the government cloud, and is accessible via URL by desktop, laptop, tablet, or Smartphone. It is solar powered with battery backup and requires no accompanying physical infrastructure while providing visibility for 1.5 miles (2.4 km) for people, 3 miles (4.8km) for vehicles.

The Lattice system permits autonomous detection, identification, and tracking of Items of Interest (IoIs).  The tower scans constantly and autonomously.  The radar detects and recognizes movement. The camera slews autonomously to the IoI and the system software identifies the object.  The system alerts the user and autonomously tracks the IoI. End users can monitor the system and see near real time photos by logging into the User Interface on any CBP device. ",Operation and Maintenance,Machine Vision,,Department of Homeland Security,"Autonomous Surveillance Towers (Anduril): 
Autonomously Detects, Identifies, and Tracks items of interest using Artificial Intelligence integrated with the tower. It does not require a dedicated operator, is rapidly deployable, and is relocatable in less than a day by 2-3 people.

The system features a hybrid command and control capability, hosted in the government cloud, and is accessible via URL by desktop, laptop, tablet, or Smartphone. It is solar powered with battery backup and requires no accompanying physical infrastructure while providing visibility for 1.5 miles (2.4 km) for people, 3 miles (4.8km) for vehicles.

The Lattice system permits autonomous detection, identification, and tracking of Items of Interest (IoIs).  The tower scans constantly and autonomously.  The radar detects and recognizes movement. The camera slews autonomously to the IoI and the system software identifies the object.  The system alerts the user and autonomously tracks the IoI. End users can monitor the system and see near real time photos by logging into the User Interface on any CBP device. ","The Autonomous Surveillance Towers by Anduril are capable of autonomously detecting, identifying, and tracking items of interest using AI. With a hybrid command and control capability, the system can be accessed remotely via URL on various devices. It is solar powered, easily deployable, and can provide visibility for up to 1.5 miles for people and 3 miles for vehicles. The tower constantly scans, detects movement, slews the camera to the object, identifies it, and alerts the user while autonomously tracking the object.","The Autonomous Surveillance Towers by Anduril are capable of autonomously detecting, identifying, and tracking items of interest using AI. With a hybrid command and control capability, the system can be accessed remotely via URL on various devices. It is solar powered, easily deployable, and can provide visibility for up to 1.5 miles for people and 3 miles for vehicles. The tower constantly scans, detects movement, slews the camera to the object, identifies it, and alerts the user while autonomously tracking the object.","Yes, the project described above is potentially a safety risk. 

According to the defined safety risks, the project falls under several categories. 

First, it involves the movement of physical objects (vehicles) and the potential delivery of kinetic force or potentially damaging electromagnetic impulses. This could pose a risk to the safety of individuals or property if the system malfunctions or is misused.

Second, the project involves the design and construction of industrial equipment (surveillance towers) that could pose a meaningful risk to safety if they were to fail. This includes potential risks related to the tower structure, solar power system, or the autonomous tracking and detection capabilities.

Additionally, the project involves the access and security of government facilities, as the system can be remotely accessed via URL on various devices. This raises concerns about potential unauthorized access or security breaches.

Overall, the Autonomous Surveillance Towers project has elements that fall within the defined safety risks, making it potentially a safety risk.","Yes, the project described, the Autonomous Surveillance Towers by Anduril, is potentially a safety risk. The project falls under the category of ""Law enforcement or surveillance-related risk assessments about individuals"" mentioned in the defined risks. The use of AI to autonomously detect, identify, and track individuals can raise concerns regarding privacy, surveillance, and potential misuse of the technology.

Additionally, the project involves constant scanning, movement detection, and tracking of individuals or objects. This level of monitoring can infringe upon personal freedoms, raise ethical concerns, and potentially lead to discrimination or abuse of power.

Furthermore, the remote accessibility of the system, along with its potential to provide visibility for miles, increases the risk of unauthorized access, hacking, or misuse of the technology. This can compromise the privacy and security of individuals being monitored.

Therefore, the Autonomous Surveillance Towers project poses a safety risk due to its potential for infringing upon privacy rights, enabling surveillance, and facilitating potential misuse or abuse of the technology.",True,True
DHS-0020-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Cyber Threat Intelligence Feed Correlation,"Cyber Threat Intelligence Feed Correlation uses AI enabled capabilities to provide accelerated correlation across multiple incoming information feeds. This enables more timely enrichment to improve the externally shared information feeds. AI allows the algorithm to use the information items and results to learn most efficient ways to perform the task. Additionally, tailored algorithms could be created to provided sustained surveillance of threat actor TTPs.
",Initiation,"Machine Learning, Natural Language Processing (NLP)",,Department of Homeland Security,"Cyber Threat Intelligence Feed Correlation: 
Cyber Threat Intelligence Feed Correlation uses AI enabled capabilities to provide accelerated correlation across multiple incoming information feeds. This enables more timely enrichment to improve the externally shared information feeds. AI allows the algorithm to use the information items and results to learn most efficient ways to perform the task. Additionally, tailored algorithms could be created to provided sustained surveillance of threat actor TTPs.
","Cyber Threat Intelligence Feed Correlation is a system that utilizes AI technology to quickly analyze and correlate information from various sources. This helps to enhance the quality of shared information and allows the algorithm to learn and improve its performance. It also has the potential to create customized algorithms for continuous monitoring of threat actor tactics, techniques, and procedures (TTPs).","Cyber Threat Intelligence Feed Correlation is a system that utilizes AI technology to quickly analyze and correlate information from various sources. This helps to enhance the quality of shared information and allows the algorithm to learn and improve its performance. It also has the potential to create customized algorithms for continuous monitoring of threat actor tactics, techniques, and procedures (TTPs).","Yes, the project Cyber Threat Intelligence Feed Correlation potentially poses a safety risk. It falls under the category of ""a. The functioning of dams, emergency services, electrical grids or the generation or movement of energy, fire safety systems, food safety mechanisms, integrity of elections and voting infrastructure, traffic control systems and other systems controlling physical transit, water and wastewater systems, and nuclear reactors, materials, and waste."" This is because the project involves the analysis and correlation of information from various sources, which can have an impact on the functioning and security of critical infrastructure systems, such as electrical grids, emergency services, and traffic control systems. If the AI technology used in the project fails or provides inaccurate information, it could lead to disruptions or compromises in these systems, posing a safety risk.","Yes, the project described above is potentially a safety risk. It falls under the category of ""Law enforcement or surveillance-related risk assessments about individuals"" and ""conduct of cyber intrusions."" The use of AI technology to analyze and correlate information from various sources, particularly in the context of cyber threats, can potentially infringe on privacy rights and lead to unintended consequences such as false accusations or misidentifications. It also raises concerns about the potential for abuse and misuse of the collected data. Therefore, careful consideration and oversight are necessary to ensure the project does not pose a safety risk.",True,True
HHS-0084-2023,HHS,FDA,CDER/Office of Surveillance and Epidemiology (OSE),Artificial Intelligence (AI) Supported Annotation of FAERS Reports,"Develop a prototype software application to support the human�review of FAERS data by developing computational algorithms to semi-automatically categorizing FAERS reports into meaningful medication error categories based on report free text. Leveraged existing annotated reports and worked with subject matter experts to annotate subsets of FAERS reports, to generate initial NLP algorithms that can classify any report as being medication related and with an identified type of medication error. An innovative active learning approach was then used to annotate reports and build more robust algorithms for more accurate categorization. ",Development and Acquisition,,,Department of Health and Human Services,"Artificial Intelligence (AI) Supported Annotation of FAERS Reports: 
Develop a prototype software application to support the human�review of FAERS data by developing computational algorithms to semi-automatically categorizing FAERS reports into meaningful medication error categories based on report free text. Leveraged existing annotated reports and worked with subject matter experts to annotate subsets of FAERS reports, to generate initial NLP algorithms that can classify any report as being medication related and with an identified type of medication error. An innovative active learning approach was then used to annotate reports and build more robust algorithms for more accurate categorization. ","The text describes the development of a software application that uses artificial intelligence to categorize FAERS reports, which contain information about medication errors. The application uses computational algorithms and natural language processing to automatically classify reports and identify the type of medication error. An active learning approach is used to continuously improve the accuracy of the algorithms.","The text describes the development of a software application that uses artificial intelligence to categorize FAERS reports, which contain information about medication errors. The application uses computational algorithms and natural language processing to automatically classify reports and identify the type of medication error. An active learning approach is used to continuously improve the accuracy of the algorithms.","Yes, the project described is potentially a safety risk. This is because it involves the categorization of FAERS reports, which contain information about medication errors. Medication errors can have serious consequences on patient safety and well-being. If the software application fails to accurately categorize the reports or identify the type of medication error, it could lead to incorrect interventions or inadequate measures to prevent future errors. Therefore, the potential risk to patient safety makes this project a safety concern.","Yes, the project described has the potential to be a safety risk. The use of artificial intelligence and algorithms to categorize medication errors is a critical task that directly impacts patient safety. If the software application misclassifies or fails to accurately identify medication errors, it could have serious consequences for patients, potentially leading to incorrect treatment or harm caused by medication errors going unnoticed. Therefore, the accuracy and reliability of the algorithms used in this project are of utmost importance to ensure patient safety.",True,True
DOE-0047-2023,DOE,National Energy Technology Laboratory,,Development of AI/ML methods,"Develop quality, reliability, and version control standards for SMART 
software. Continue development of AI/ML methods for use by the 2A 
and 2C activities, including Modeling anomalies due to local 
heterogeneity coupled with an enhanced capacitance-resistance model 
(CRM) and Bayesian Belief Network (BBN) modeling integrated with 
geochemistry. Continue development of advanced computational 
approaches with modeling using the most advanced general purpose 
PDE/ODE physics-informed neural network (PINN) tool developed by 
NVIDIA and accelerate training PINNs using Wafer Scale Engine (WSE) 
by Cerebras Systems Inc.",,Other,,Department of Energy,"Development of AI/ML methods: 
Develop quality, reliability, and version control standards for SMART 
software. Continue development of AI/ML methods for use by the 2A 
and 2C activities, including Modeling anomalies due to local 
heterogeneity coupled with an enhanced capacitance-resistance model 
(CRM) and Bayesian Belief Network (BBN) modeling integrated with 
geochemistry. Continue development of advanced computational 
approaches with modeling using the most advanced general purpose 
PDE/ODE physics-informed neural network (PINN) tool developed by 
NVIDIA and accelerate training PINNs using Wafer Scale Engine (WSE) 
by Cerebras Systems Inc.","The text discusses the development of AI/ML methods for SMART software. This includes the establishment of quality, reliability, and version control standards. Additionally, the text mentions the development of AI/ML methods for activities 2A and 2C, such as modeling anomalies with a CRM and BBN modeling integrated with geochemistry. Advanced computational approaches using NVIDIA's PINN tool and Cerebras Systems Inc.'s WSE are also being developed to accelerate training.","The text discusses the development of AI/ML methods for SMART software. This includes the establishment of quality, reliability, and version control standards. Additionally, the text mentions the development of AI/ML methods for activities 2A and 2C, such as modeling anomalies with a CRM and BBN modeling integrated with geochemistry. Advanced computational approaches using NVIDIA's PINN tool and Cerebras Systems Inc.'s WSE are also being developed to accelerate training.","Yes, the project is potentially a safety risk. 

The development of AI/ML methods for SMART software may involve the functioning of critical systems such as electrical grids, emergency services, and traffic control systems. If these systems are not properly developed and tested, they could pose a safety risk.

Additionally, the project mentions the development of AI/ML methods for activities involving physical movements within various settings, including workplaces, transportation, and law enforcement. If the movements of robotic appendages or bodies are not properly controlled or monitored, it could result in accidents or harm to humans.

Furthermore, the project involves the development of advanced computational approaches using tools like NVIDIA's PINN and Cerebras Systems Inc.'s WSE. If these tools are not properly designed or tested, they could potentially cause harmful effects or damage.

Overall, the project involves several elements that could pose safety risks if not appropriately managed.","Yes, the project described is potentially a safety risk. The project involves the development of AI/ML methods for various activities, including law enforcement or surveillance-related risk assessments, detecting or measuring emotions and thoughts in humans, determining access to educational resources or programs, determining the terms and conditions of employment, making decisions regarding medical devices and clinical diagnosis, determining access to government benefits or services, and making recommendations or decisions about child welfare.

These activities have significant implications for individuals' rights, privacy, and potential for discrimination or bias. The use of AI/ML in these areas can lead to errors, unfair treatment, and infringement on civil liberties. It is crucial to carefully assess and address the potential risks and ensure that proper safeguards are in place to mitigate any adverse impacts on individuals or society.",True,True
DOE-0117-2023,DOE,National Energy Technology Laboratory,,To identify and characterization REE- CM hot zones using machine learning-aided multi-physics.,"Develop and field demonstrate a machine learning (ML)-aided multi-
physics approach for rapid identification and characterization of REE-
CM hot zones in mine tailings with a focus on coal and sulfide mine 
tailings or other processing or utilization byproducts, such as fly ash and 
refuse deposits.",,Artificial Intelligence Unknown,,Department of Energy,"To identify and characterization REE- CM hot zones using machine learning-aided multi-physics.: 
Develop and field demonstrate a machine learning (ML)-aided multi-
physics approach for rapid identification and characterization of REE-
CM hot zones in mine tailings with a focus on coal and sulfide mine 
tailings or other processing or utilization byproducts, such as fly ash and 
refuse deposits.","The text states the goal of developing and demonstrating a machine learning-aided multi-physics approach to quickly identify and characterize areas with high concentrations of rare earth elements (REE) in mine tailings. The focus is on coal and sulfide mine tailings, as well as other byproducts like fly ash and refuse deposits.","The text states the goal of developing and demonstrating a machine learning-aided multi-physics approach to quickly identify and characterize areas with high concentrations of rare earth elements (REE) in mine tailings. The focus is on coal and sulfide mine tailings, as well as other byproducts like fly ash and refuse deposits.","Yes, the project described potentially poses a safety risk. This is because the project involves the testing and characterization of mine tailings, which can contain hazardous chemicals and substances. The transport, safety, design, or development of hazardous chemicals or biological entities falls under the category of safety risks mentioned. Therefore, the project's activities related to mine tailings could potentially pose a meaningful risk to safety.","Yes, the project described potentially poses a safety risk. 

Although the project itself does not directly involve activities that are traditionally associated with safety risks, the use of machine learning and data analysis in identifying and characterizing areas with high concentrations of rare earth elements in mine tailings can indirectly impact safety. 

Mining activities and the handling of mine tailings can pose significant safety risks due to the potential for landslides, collapse of mine structures, release of harmful chemicals, and other hazards. If the project aims to locate areas with high concentrations of rare earth elements in mine tailings, it could potentially lead to increased mining activities in those areas. This, in turn, may increase the associated safety risks for workers and the surrounding environment. 

Therefore, while the project itself may not be directly related to safety risks, its potential consequences on mining activities and the handling of mine tailings make it a potentially safety risk.",True,True
